name,image,price,category
'נ- שקוף וינטג' כף *10 יח,7290110280116.jpg,4,hadpaami
'נ- שקוף וינטג' כפית *10 יח,7290110280123.jpg,4,hadpaami
'נ- שקוף וינטג' מזלג *10 יח,7290110280093.jpg,4,hadpaami
'ס- כף נצנצים זהב וינטג'  *10 יח,7290110286071.jpg,4,hadpaami
'ס- נצנצים זהב וינטג' סכין *10 יח,7290110286057.jpg,4,hadpaami
'‏29 -כוס שוט כסף 2 אוז * 24 יח,7290115952179.jpg,12,hadpaami
* יא- לייט וינטג' צלחת קטנה נצנצים כסף,7290110287856.jpg,8,hadpaami
*מפה רנר דגם רוז לבן-כסף  137,7290014625570.jpg,10,birthday
"1 ק""ג אבקת סוכר שקית",7290001050064.jpg,15,cleaning
10 מרקיות עגולות פלוורס,7290113923843.jpg,14,hadpaami
"10 שקיות זילוף מקצועיות 30 ס""מ",7290018884782.jpg,8,hadpaami
"10 שקיות זילוף מקצועיות 36 ס""מ",7290018884799.jpg,9,hadpaami
"10 שקיות זילוף מקצועיות 40 ס""מ",7290018884805.jpg,10,hadpaami
"10 שקיות זילוף מקצועיות 45 ס""מ",7290018884812.jpg,10,hadpaami
100 סוכריות על מקל 12 גר',7290016500193.jpg,50,hadpaami
100 סוכריות על מקל פירות בשקית 900 גר',7290019500179.jpg,32,cleaning
100 צלחות גדולות פלאס,7290104853333.jpg,20,hadpaami
2 סוללות C-LR14 DUAL POWER,7291000129997.jpg,10,hadpaami
2 סוללות D-LR20 DUAL POWER,7291000129973.jpg,10,hadpaami
2 קופסאות אקרילי גדול,7290118431725.jpg,22,hadpaami
2 תבניות קרטון קשיח,7290108359022.jpg,15,hadpaami
20 מפיות 3 שכבות 33*33,7290003586455.jpg,8,hadpaami
20 צלחת מרובעת גודל  6 -קנה סוכר,7290113920750.jpg,10,hadpaami
"25 כפות עץ מעוצבים 20 ס""מ",7290113924932.jpg,10,hadpaami
"25 כפיות עץ איכותיות 16 ס""מ",7290113924963.jpg,6,hadpaami
"25 מזלגות עץ מעוצבים 20 ס""מ",7290113924956.jpg,10,hadpaami
"25 סכיני עץ מעוצבים 20 ס""מ",7290113924949.jpg,10,hadpaami
3 יח מטליות מיקרופייבר לרצפה,7290115737813.jpg,14,hadpaami
3 כריות ברזל לקרצוף חזק SHINY,7290012931611.jpg,9,hadpaami
"3 מגשים עגולים 12"" 30 ס""מ דקל",7290113921191.jpg,10,hadpaami
3 סקוצים עבים,7290016117400.jpg,10,hadpaami
4 כריות ניקוי לשבת,7290108359060.jpg,14,cleaning
4 מברשות שיניים לצחצוח בינוני,7290020178336.jpg,10,hadpaami
4 מברשות שיניים לצחצוח רך,7290020178329.jpg,10,hadpaami
"4 נרות אורך 26 ס""מ תחרה זהב",7290017674872.jpg,30,birthday
4 תבניות נייר מלבניות,7290108353020.jpg,12,hadpaami
4 תבנית נייר עגולה,7290108353037.jpg,10,baking
40 סושי לחות עוצמתי,7290108359251.jpg,27,hadpaami
5 כוסות פסים פס זהב,7290113927889.jpg,15,hadpaami
